Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
249,Udanta Singh,in IND,"MF,FW",Bengaluru,26,1996,5.1,0,5,1,20,0.98,0.2,0,0,,0,0,Matches
250,Vikram Singh,in IND,MF,Mumbai City,20,2002,3,2,9,3,33.3,2.97,0.99,0.22,0.67,,0,1,Matches
251,Yumkhaibam Singh,in IND,MF,Chennaiyin,20,2001,11.1,0,8,1,12.5,0.72,0.09,0,0,,0,0,Matches
252,Siverio,es ESP,FW,Hyderabad FC,24,1997,11.5,5,39,17,43.6,3.4,1.48,0.13,0.29,,0,0,Matches
253,Petar Slišković,hr CRO,FW,Chennaiyin,31,1991,15.4,8,50,18,36,3.25,1.17,0.16,0,,0,0,Matches
254,Sanjeev Stalin,in IND,DF,Mumbai City,21,2001,7.4,0,0,0,,0,0,0,0,,0,0,Matches
255,Greg Stewart,sct SCO,"MF,FW",Mumbai City,32,1990,14.9,7,50,33,66,3.36,2.21,0.12,0.18,,1,1,Matches
256,Nihal Sudeesh,in IND,FW,Kerala Blasters,21,2001,1.2,0,3,2,66.7,2.5,1.67,0,0,,0,0,Matches
257,Syed Suhail Pasha,in IND,FW,Chennaiyin,22,1999,0.3,0,0,0,,0,0,0,0,,0,0,Matches
258,Parthib Sundar Gogoi,in IND,"FW,MF",NorthEast Utd,19,2003,9.5,3,20,8,40,2.1,0.84,0.15,0.38,,0,0,Matches
259,Pragyan Sundar Gogoi,in IND,MF,NorthEast Utd,23,1999,11.3,0,14,3,21.4,1.24,0.27,0,0,,0,0,Matches
260,Edwin Sydney Vanspaul,in IND,"MF,DF",Chennaiyin,29,1992,11.1,1,21,9,42.9,1.9,0.81,0.05,0.11,,0,0,Matches
